Gene_Symbol	GSM1187673	GSM1187674	GSM1187675	GSM1187676	GSM1187677	GSM1187678
A1BG	8.35427	8.42801	8.217789999999999	8.31298	8.28053	8.26724
A1CF	6.31162	6.36645	6.3357	6.21267	6.26347	6.12045
A2M	6.9502	7.619730000000001	8.62611	8.28023	8.87152	8.60336
A2ML1	6.13437	6.1809	6.21205	6.195209999999999	6.11644	5.93034
A3GALT2	7.00701	7.144419999999999	6.68127	6.68647	6.90332	6.96524
A4GALT	9.20412	9.21844	9.51608	9.48967	9.304269999999999	9.17637
A4GNT	5.91447	5.87135	6.00295	6.009530000000001	5.87777	5.86285
AAAS	10.3823	10.302	10.2216	10.4424	10.5724	10.7256
AACS	9.86272	9.734210000000001	9.57629	9.438260000000001	9.57896	9.81997
AADAC	3.5672099999999998	5.804180000000001	3.8695699999999995	5.52182	4.24883	3.57401
AADACL2	4.73564	4.5553099999999995	4.516859999999999	4.83113	4.4526699999999995	4.54614
AADACL3	6.65636	6.82167	6.33677	6.3480300000000005	6.36408	6.7125699999999995
AADACL4	5.311	5.30478	5.13612	5.32206	5.0808800000000005	5.1657
AADAT	9.15483	8.53935	9.30218	9.57187	9.75966	9.83367
AAED1	9.70125	9.89935	10.3567	10.6631	9.718539999999999	9.75827
AAGAB	8.180439999999999	8.14386	8.159989999999999	8.18858	7.98225	8.13828
AAK1	10.6639	10.765699999999999	10.6189	10.43085	10.6372	10.7554
AAMDC	8.07967	7.93231	8.010660000000001	8.43915	8.05114	7.96685
AAMP	9.588569999999999	9.5359	9.64805	9.68452	9.64736	9.63626
AANAT	7.15954	7.317810000000001	7.29519	7.25338	7.24264	7.21835
AAR2	10.1716	10.0268	10.1611	10.1778	10.1026	10.1693
AARD	7.28273	7.443789999999999	7.415080000000001	6.77613	7.12167	7.1304
AARS	11.6387	11.1323	11.7438	11.6202	11.7733	11.9336
AARS2	7.66471	7.701980000000001	7.599419999999999	7.64885	7.53045	7.54327
AASDH	7.928319999999999	7.68416	7.613919999999999	8.45326	8.24992	8.335460000000001
AASDHPPT	5.902229999999999	5.606604999999999	5.930135000000001	6.038799999999999	6.017655	5.8619699999999995
AASS	9.31108	9.123439999999999	9.165239999999999	9.24901	8.97874	9.141160000000001
AATBC	7.47443	7.36504	7.427789999999999	7.3818	7.24205	7.29655
AATF	9.99018	9.61231	10.5028	10.4573	10.3393	10.3284
AATK	7.76082	7.64135	7.5858	7.68191	7.6414100000000005	7.59802
ABAT	7.971019999999999	8.08486	8.1152	8.54229	8.272039999999999	8.129430000000001
ABCA1	10.7689	9.939969999999999	10.9192	10.4221	10.665	10.3918
ABCA2	9.16203	9.37912	9.06703	9.19844	9.0641	9.191189999999999
ABCA3	7.276260000000001	7.3775	7.32499	7.245139999999999	7.23947	7.2819
ABCA4	6.0826400000000005	5.94244	5.92425	5.8893699999999995	6.01279	5.945930000000001
ABCA5	8.0967	7.49867	8.2869	8.3994	8.11404	8.22453
ABCA6	9.60383	9.9248	9.9429	10.8213	10.0871	9.004389999999999
ABCA7	7.75515	8.15342	7.771730000000001	7.7279800000000005	7.62483	7.700069999999999
ABCA8	8.88012	9.00398	7.978219999999999	10.2097	9.48427	9.294
ABCA9	9.856860000000001	10.068999999999999	10.2918	10.2253	9.88453	8.71706
ABCA10	4.9429300000000005	4.6044599999999996	5.29784	5.5911599999999995	5.0892	5.0196
