	GSM1519923	GSM1519926	GSM1519927	GSM1519928	GSM1519929	GSM1519930	GSM1519933	GSM1519934	GSM1519935
A1BG	6.915839903	2.8670159665	5.32060622	5.343993331	7.1797658470000005	5.519449728	5.863092806	5.2212523520000005	5.1066939725
A1CF	1.422016163	2.152784778	1.6224679819999999	2.591655711	2.999767143	1.412717447	1.97685657	3.7792762960000004	1.620673126
A2BP1	4.4921587365	5.6643758785	4.015796917	3.5518628965	2.48026995	3.95931063	4.364222142999999	4.139129651	7.2435002385
A2LD1	5.9196432670000005	1.417495221	3.925142095	6.292415461	7.5197168979999995	4.171169684	6.012295257999999	5.174968591	4.497582187
A2M	5.452238824	5.769238047999999	6.31584196	5.2526083130000005	5.580833295	5.800274904	3.141741821	4.652632101	2.905481343
A2ML1	4.379514754	2.1680206969999998	2.154574848	1.5859560430000001	1.648870967	3.8044624639999998	2.0173857969999998	2.454969702	1.9132102709999999
A3GALT2	6.753467089	2.296994457	4.601734225	7.418682033	4.668867878	5.891928237	1.915724325	4.4072624739999995	1.892890239
A4GALT	6.065412762999999	7.485392227	7.515370459	7.391134762999999	4.881629604	7.863868592	6.232188801	6.478981172	7.006769353999999
A4GNT	2.459022229	5.552132092000001	4.350303446	3.353963785	2.435946879	3.418413267	4.653362134	3.7397836160000004	3.889305157
AAAS	5.284191411	7.627409856	6.509631978	5.94332783	5.321807207	6.474418936	6.712221044	6.015688407000001	5.493690041
AACS	16.78681011	17.20565515	17.47727893	16.46390817	16.86683643	16.98747878	17.04370886	17.47727893	17.14694194
AADAC	6.859988134	1.380274724	6.096998533	6.646591196	6.146585084	6.946785019	6.907824923	6.608380604	5.707074875
AADACL1	6.602517858	1.617068573	5.34273552	6.767458072	8.187395759	7.491735032999999	7.50042984	4.588345352	5.971621419
AADACL2	4.8955420730000005	1.329987705	1.4313898459999999	5.037097152	3.9286584380000003	5.614502067	1.5173871319999999	2.859600725	4.501798933
AADAT	1.312338143	1.271917623	1.370130499	1.2902891440000002	1.253270836	1.377621872	1.391880211	1.498276862	1.4221515059999998
AAK1	3.3337720005	1.9420109255	1.994568856	2.970970161	2.892843695	2.0867312055	1.923528007	3.567365579	5.1568038455
AAMP	6.159131147999999	3.042592014	4.950284149	5.234753072	5.372326242000001	4.461848503	4.819563182	5.517358805	6.959074522000001
AANAT	4.101881841	6.219764919	5.198897035	5.104721748	4.466027991	4.491140993	5.853279266	4.757757258	5.057137048
AARS	1.668664071	2.494000287	2.465912449	1.825905666	1.562389565	1.963686755	2.426036261	2.312768363	2.585484869
AARS2	7.379629361	6.459510645	4.877606515	7.577486019	8.719186873	6.082382645	5.723856027	6.406921238	6.564482994
AARSD1	2.883164927	4.121680481	3.0178502619999996	3.869310366	3.0840922474999997	3.7055604350000007	1.6497657824999998	2.714909262	3.4401364255
AASDH	5.594271544000001	4.98154938	5.424779128	6.78887532	5.542528423	5.913899483333334	4.4909730303333335	5.639189331	4.562707041333334
AASDHPPT	3.9242264376666665	4.976140609333333	4.249298551333333	5.483227095	3.9986542686666664	4.588577513666666	4.3583444773333335	3.3090205696666666	4.877296163333334
AASS	1.528072881	2.283206059	2.20275446	1.6282909559999998	1.496147561	1.7406168819999999	2.185428547	2.07794349	2.180778773
AATF	6.3661949925	6.764918726	6.34681346	6.527023766	5.873095253	6.866932908	5.9784643155	6.526373662999999	6.718549147999999
AATK	5.293920125666666	5.518970524333334	5.726703188333333	5.241508952	5.069363746333334	5.880967575666666	4.402187816333334	4.261728931	5.255157773333334
ABAT	4.9912702005	6.252102292	5.753736538499999	5.2781973230000006	5.119756152000001	5.4169934215	5.433644899	5.467428604	6.79847511
ABCA1	5.283143723333333	5.5415188676666665	5.659863949000001	4.87917977	4.819767003666667	5.296778280999999	6.043799267	5.435997687	5.443752520666667
ABCA10	5.723302482999999	5.710285757	9.215655904	6.511599031	7.909014752999999	7.156560157	5.201323772	5.3214025860000005	6.190572324
ABCA11P	3.179626634	1.480320668	1.4608289719999998	3.9212813289999997	3.7332653280000003	1.344263208	1.48477053	1.351663949	1.425824403
ABCA12	1.222520834	1.4989989719999999	1.2592118209999998	1.278846753	1.275543633	1.266607831	1.297785518	1.3325151290000001	1.2399201990000002
ABCA13	7.587107802	6.691312282999999	5.939037621000001	3.900499342	6.736375004	6.214116194	1.2729157290000002	6.961014056000001	8.06591599
ABCA17P	1.778599469	4.175872095	5.016231717	4.095616538	2.303338389	2.7726771230000002	5.20073965	3.84607928	3.2917033260000004
ABCA2	2.8673218389999997	3.68079242	2.7494398330000003	3.7505881260000002	3.729881904	5.453375342999999	4.673207206	2.631705957	3.1422683869999997
ABCA3	3.140743778	5.69802043	1.854048865	2.589558348	2.5463788469999997	2.881164623	5.3665768830000005	3.8096616780000003	1.949374811
ABCA4	7.133810715	9.165182737	8.174833343	7.912884748	7.4630158060000005	8.548431217000001	9.411640389	8.813144634	8.607232242
ABCA5	5.644101207	6.422036392500001	6.2543291194999995	6.0880893915000005	6.7582316185	7.9062025270000005	7.744580443	6.430396631500001	6.491649603
ABCA6	3.57571564	3.9430672775000004	2.1339938005	1.8569774934999999	2.289553378	3.3508303785	3.9432833285	1.9605279224999999	2.0663851395
ABCA7	1.2924360209999999	4.094256152	1.4135171690000001	1.386789993	1.386020344	1.251117203	1.56274472	1.3745647230000002	1.343041423
ABCA8	8.908479478	1.7725304290000001	8.197582206	9.867506305	8.183024202	9.156472598999999	9.714325352000001	10.02264126	10.12340682
ABCA9	1.30492494	1.4109421709999999	1.390258086	1.437333168	1.3650312480000002	1.618704436	1.393181095	1.340076067	1.5066235959999998
ABCB1	4.7911632114	3.763076154	4.8694117278	4.9134629105	5.050466243000001	4.6505609962	4.7301726411	5.555534203700001	4.548509940400001
