,coef
EGFL6,-0.13957903745327696
TYROBP,-0.10314167448872558
GPR183,-0.0977711464963976
LYZ,-0.08481924970489134
AZGP1,0.08265440590699422
TIMP1,-0.08045742574490729
MFAP5,-0.07683601616438675
TNMD,-0.07389478317126959
MMP9,-0.0727337726877002
C1QB,-0.07099086160593064
CTSS,-0.06900866848985142
CA3,0.06815627878107217
CHI3L1,-0.06790162411673227
LCP1,-0.06568536630914969
CD52,-0.06553649094725192
F13A1,-0.06334544029099257
SPP1,-0.06259195132582968
SFRP4,-0.061090949718147367
PLA2G7,-0.060970483578200244
CPVL,-0.05887777154432847
STMN2,-0.05774983602315426
MXRA5,-0.05768578561648641
EMP3,-0.0573922572905864
MPEG1,-0.05712613822234769
FCER1G,-0.05691200855414699
EVI2B,-0.055863800624080084
MNDA,-0.055377500897382526
GPR137B,-0.05531686919370569
VSIG4,-0.05481502925317479
SLC27A2,0.05460945712380861
CD14,-0.054129304854563645
EGR2,-0.053163843011473144
CTGF,-0.05296768772075918
C1QC,-0.05292010370285151
ITGB2,-0.05222929981452139
CCL8,-0.05159782161412587
DHRS9,-0.0507911937901904
C1QA,-0.04819973568703606
SCIN,-0.04775242999156679
NPR3,-0.04702222416407392
LAPTM5,-0.04701775118835492
RASSF2,-0.046928253291777314
MS4A6A,-0.04683157496907086
